year,epstein_activity,financial_event,intel_event,legal_response
1953,Jeffrey Epstein born (Brooklyn),,,
1973,Hired at Dalton School by Donald Barr (OSS),,Donald Barr: OSS veteran,
1976,Joins Bear Stearns,,,
1981,Leaves Bear Stearns,Unknown wealth source begins,,
1987,Joins Towers Financial with Hoffenberg,$25K/month + loans,,
1991,Enters Wexner orbit; meets Ghislaine,Wexner grants unlimited POA,Robert Maxwell dies (Nov),
1993,Towers Financial collapses,$460M Ponzi exposed,,Hoffenberg charged; Epstein escapes
1996,Receives NYC mansion from Wexner,$77M property transfer,,
2005,Palm Beach investigation begins,,,40+ victims identified
2008,Pleads guilty to state charges,,Acosta: 'belonged to intelligence',NPA signed; 13mo work release
2012,Leon Black relationship intensifies,$170M payments begin,,
2015,Invests in Carbyne,$1.5M+ to surveillance tech,Carbyne founded; Unit 8200 staff,
2019,SDNY arrest (Jul 6); Death (Aug 10),JPMorgan files $1B+ SAR,Israeli passport found,Documents unsealed Aug 9
2021,,$125M victim fund,,Ghislaine Maxwell convicted
2022,,JPMorgan $290M settlement,,Maxwell: 20 years; Brunel dies
